station,time,start_time,end_time,probability,phase,amp_z,amp_n,amp_e,nos_z,nos_n,nos_e,rms_z,rms_n,rms_e,snr_z,snr_n,snr_e,source
IC.LSA,2008-10-01 15:23:38.683300,2008-10-01 15:23:38.323300,2008-10-01 15:23:39.023300,0.76689917,P,1.3081077612700961e-08,9.880445987815877e-09,9.349496822821185e-09,3.6523134191201455e-09,2.7241809097866884e-09,2.6442025432781058e-09,6.07883328540271e-09,4.384746993796395e-09,4.047773846214287e-09,2.7754198014579847,1.4503177039692312,1.9342910782658234,diting
IC.LSA,2008-10-01 15:30:28.723300,2008-10-01 15:30:28.503300,2008-10-01 15:30:29.083300,0.17037524,P,1.0336564598097516e-08,9.08198743466766e-09,7.327272140678298e-09,3.853444836733017e-09,3.912081102950645e-09,4.149231293287925e-09,3.270137524975443e-09,4.646518723771854e-09,2.9805323153798553e-09,2.025080098528603,1.72400797157032,1.6357479576503535,diting
IC.LSA,2008-10-01 15:45:07.543300,2008-10-01 15:45:06.883300,2008-10-01 15:45:08.483300,0.23927897,P,2.3086123765049964e-08,1.0936001283039851e-08,1.3284070584099823e-08,4.863089446105757e-09,5.075975987240273e-09,3.491417972198883e-09,1.1097547338495736e-08,7.281440488522851e-09,7.958826490947055e-09,1.5197634683548493,1.1200351951832885,1.2731738374744863,diting
IC.LSA,2008-10-01 15:59:11.483300,2008-10-01 15:59:11.103300,2008-10-01 15:59:11.843300,0.8992532,P,6.280152484858046e-09,7.295286324170203e-09,1.0990884169755066e-08,4.2389834894754035e-09,3.129359567088952e-09,4.096329644244937e-09,3.320292849507053e-09,3.218008975029828e-09,5.191739579648032e-09,3.384344413017156,1.6124001861437982,1.6132904465032811,diting
IC.LSA,2008-10-01 16:24:22.123300,2008-10-01 16:24:22.063300,2008-10-01 16:24:22.363300,0.11977725,P,1.4936001480701953e-08,7.372094079993528e-09,6.6959841346746155e-09,3.5278862866161097e-09,2.90227278938674e-09,2.8124882519323187e-09,6.01754150202132e-09,4.450990400213086e-09,3.2689228532721214e-09,1.9424378524821162,1.4131529570264745,2.0338155826695528,diting
IC.LSA,2008-10-01 16:34:08.823300,2008-10-01 16:34:08.763300,2008-10-01 16:34:09.303300,0.09720228,P,7.997140736532715e-09,7.751175863726932e-09,6.649652003593169e-09,6.177365682467252e-09,3.889065441955771e-09,2.5864703476376753e-09,4.554566261722932e-09,4.39268905973835e-09,3.1496566958578077e-09,1.5378596298046532,1.8213451104292409,1.612607973774297,diting
IC.LSA,2008-10-01 16:43:15.843300,2008-10-01 16:43:15.723300,2008-10-01 16:43:16.083300,0.078604646,P,1.1782259487570012e-08,1.0354332622373685e-08,7.201623591715922e-09,3.725737563606017e-09,3.1642061929695213e-09,3.783016859944454e-09,4.5479867102172095e-09,4.4372588792134054e-09,3.309891926404445e-09,1.1549864808357706,1.3854415585878959,0.879543201711451,diting
IC.LSA,2008-10-01 16:59:17.603300,2008-10-01 16:59:17.363300,2008-10-01 16:59:17.903300,0.36764905,P,1.023179545217348e-08,1.106881057714118e-08,6.727896391770648e-09,5.106882927250088e-09,4.00861351641957e-09,2.9084751844727214e-09,4.653508866739705e-09,4.588782213663119e-09,3.5752065568105778e-09,1.1686202651475401,1.0907178978747472,1.1597959527685635,diting
IC.LSA,2008-10-01 17:10:07.783300,2008-10-01 17:10:07.603300,2008-10-01 17:10:08.023300,0.15625845,P,6.683079205894282e-09,6.399780005311801e-09,9.952334936232673e-09,5.348842913893922e-09,2.098024110543174e-09,2.7508807833567226e-09,3.846158634683483e-09,2.967540124715019e-09,5.469065507481445e-09,2.7012921219320964,2.3431818104204214,2.6361904623536234,diting
IC.LSA,2008-10-01 17:14:42.683300,2008-10-01 17:14:42.483300,2008-10-01 17:14:43.503300,0.097270176,P,8.606525738592054e-09,1.0468502124614668e-08,9.232262559913723e-09,4.551941111295776e-09,2.3931843831035232e-09,3.008915203736741e-09,3.3340823451978034e-09,3.992442862727872e-09,5.038173121821999e-09,1.2995854988506736,0.9374908039126107,1.7653256427104524,diting
